kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.13,KAB. PROBOLINGGO,4161,27,310,14,4,0,0,2020-04-13 13:03:11,"-7,8223105","113,3864559"
35.11,KAB. BONDOWOSO,9605,28,857,2,1,0,0,2020-04-13 12:47:28,"-8,0284796","114,0265067"
35.16,KAB. MOJOKERTO,5097,0,276,39,1,0,0,2020-04-13 15:57:46,"-7,586911","112,420605"
35.18,KAB. NGANJUK,17995,364,42,18,9,0,0,2020-04-13 12:40:13,"-7,6150520","111,6670610"
35.77,KOTA MADIUN,571,3,48,8,0,0,0,2020-04-13 12:33:16,"-7,6300605","111,4930316"
35.26,KAB. BANGKALAN,14074,191,523,3,4,0,0,2020-04-13 12:17:16,"-7,0234914","112,7519820"
35.08,KAB. LUMAJANG,2920,152,264,21,8,0,2,2020-04-13 11:46:44,"-8,1295529","113,2236942"
35.79,KOTA BATU,934,57,124,12,2,1,0,2020-04-13 10:57:00,"-7,8769031","112,4998848"
35.28,KAB. PAMEKASAN,6577,6577,158,2,3,0,1,2020-04-12 16:11:48,"-7,1548002","113,4379637"
35.22,KAB. BOJONEGORO,13610,48,118,1,1,0,1,2020-04-12 14:18:35,"-7,1524790","111,8869290"
35.71,KOTA KEDIRI,1095,71,154,4,6,1,0,2020-04-12 14:17:22,"-7,8228400","112,0118640"
35.24,KAB. LAMONGAN,31016,280,236,100,23,0,0,2020-04-12 16:02:49,"-7,1181110","112,4149810"
35.09,KAB. JEMBER,11073,137,845,19,3,1,0,2020-04-12 13:58:02,"-8,3951516","113,6809395"
35.78,KOTA SURABAYA,4080,431,1360,502,180,35,11,2020-04-12 16:32:21,"-7,2756141","112,6426424"
35.14,KAB. PASURUAN,283,27,86,25,10,0,0,2020-04-12 14:33:06,"-7,7514338","112,8700750"
35.13,KAB. PROBOLINGGO,4105,23,309,12,4,0,0,2020-04-12 13:51:49,"-7,8223105","113,3864559"
35.01,KAB. PACITAN,10701,10,465,4,1,0,0,2020-04-12 13:51:37,"-8,1318878","111,2278873"
35.05,KAB. BLITAR,,16,587,8,1,1,0,2020-04-12 13:50:48,"-8,2814419","112,3027620"
35.26,KAB. BANGKALAN,13910,145,498,2,4,0,0,2020-04-12 16:13:05,"-7,0234914","112,7519820"
35.03,KAB. TRENGGALEK,14447,7,677,9,1,0,0,2020-04-12 13:38:30,"-8,176848","111,610650"
35.10,KAB. BANYUWANGI,3207,125,556,9,3,1,1,2020-04-12 13:35:33,"-8,4169235","114,3311312"
35.25,KAB. GRESIK,847,132,1035,80,14,1,1,2020-04-12 15:42:26,"-7,1610846","112,6220300"
35.19,KAB. MADIUN,399,352,219,7,3,1,0,2020-04-12 14:15:02,"-7,6666455","111,5912452"
35.73,KOTA MALANG,1047,153,460,74,8,4,0,2020-04-12 14:34:03,"-7,9786395","112,5617416"
35.04,KAB. TULUNGAGUNG,6890,98,889,119,10,0,0,2020-04-12 16:07:48,"-7,7455014","111,8953035"
35.20,KAB. MAGETAN,269,1,122,16,10,8,1,2020-04-12 13:24:35,"-7,6774309","111,3616371"
35.21,KAB. NGAWI,15792,10,225,11,0,0,0,2020-04-12 13:18:50,"-7,4324690","111,2547392"
35.17,KAB. JOMBANG,6318,163,467,5,4,0,0,2020-04-12 16:27:23,"-7,5567779","112,2489964"
35.76,KOTA MOJOKERTO,701,1,194,6,0,0,0,2020-04-12 13:14:21,"-7,4714887","112,4217213"
35.12,KAB. SITUBONDO,2939,102,235,21,11,4,0,2020-04-12 15:10:41,"-7,7168478","113,9278534"
35.77,KOTA MADIUN,556,3,47,8,0,0,0,2020-04-12 13:06:26,"-7,6300605","111,4930316"
35.06,KAB. KEDIRI,8504,233,370,26,11,2,4,2020-04-12 16:05:23,"-7,8332959","112,1666262"
35.27,KAB. SAMPANG,10849,6,294,0,0,0,0,2020-04-12 13:03:44,"-7,1927155","113,2429293"
